species,sex,length,age
"Softshell","male","9.9 9.8",25
"Spotted","female","5.2 5.1 5.2 5.1",53
"Spotted","female","4.9 5.2",112
"Spotted","female","4.5 4.7",29
"Softshell","male","10.4 10.5 10.5",18
"Softshell","female","10.9 10.8",33
"Softshell","male","9.4 9.4",31
"Softshell","male","10.4 10.3 10.3 10.5 10.4",32
"Softshell","male","9.5 9.8 9.6 9.4 9.5",19
"Softshell","male","9.5 9.4 9.3 9.3",19
"Spotted","male","2.6 2.8",16
"Softshell","female","10.7 10.6 10.7",36
"Spotted","male","4.0 4.0 4.2 4.1",33
"Softshell","female","10.6 10.5",24
"Softshell","female","10.8 10.7",18
"Softshell","female","10.1 10.2 10.2",12
"Softshell","female","10.4 10.5",25
"Softshell","female","9.9 10.2",20
"Softshell","male","8.9 9.0",14
"Spotted","male","3.6 3.4 3.6",28
"Spotted","female","5.2 5.3 5.2",39
"Softshell","male","11.0 11.0 10.8 10.8",25
"Spotted","female","3.5 3.3 3.5 3.5",15
"Spotted","male","4.2 4.0 4.0 4.1",36
"Softshell","female","10.8 10.9 10.5",25
"Spotted","female","3.7 3.8 4.0",12
"Spotted","female","5.2 5.0",22
"Softshell","male","9.4 9.3",21
"Spotted","male","2.7 2.7 2.5",12
"Spotted","male","3.2 3.1 3.2",22
"Softshell","female","9.9 9.9 9.9",20
"Softshell","female","9.8 9.9",9
"Softshell","female","10.4 10.2",19
"Spotted","female","5.0 5.0 4.7",61
"Spotted","male","2.2 2.1",11
"Softshell","female","11.1 10.8",19
"Spotted","female","5.6 5.7",53
"Spotted","female","4.5 4.7 4.6",44
"Spotted","female","4.4 4.3 4.3",30
"Softshell","male","8.1 8.2 8.2 8.4",4
"Softshell","male","8.3 8.5 8.5 8.3 8.4",5
"Softshell","female","10.1 10.2 10.2 10.3 10.3",24
"Spotted","female","5.1 5.0",68
"Softshell","female","10.7 10.8 10.9",36
"Spotted","female","5.1 5.0 4.9 4.8",77
"Spotted","male","3.3 3.3 3.4 3.4",17
"Spotted","male","3.4 3.5",22
"Spotted","female","5.5 5.8 5.6",48
"Softshell","female","9.6 9.9 9.7 10.0",17
"Spotted","female","4.0 3.9 3.8",32
"Spotted","male","3.8 3.7 3.9 3.9",33
"Softshell","female","10.7 10.7",24
"Softshell","female","9.9 9.6",20
"Spotted","female","5.0 5.0 4.9 5.1",54
"Spotted","female","5.3 5.4 5.6",89
"Softshell","female","10.6 10.5 10.5",23
"Spotted","female","4.2 4.1 4.2",36
"Spotted","male","3.3 3.6",22
"Softshell","female","9.7 9.8 9.6",18
"Spotted","female","5.2 5.5 5.3 5.5 5.5 5.4",52
"Spotted","male","3.6 3.4",26
"Spotted","female","4.1 4.1",37
"Softshell","male","8.4 8.7",12
"Spotted","female","4.9 5.1 5.0",62
"Spotted","female","5.2 5.2",59
"Softshell","male","10.2 9.8 9.9 10.1",19
"Softshell","female","10.9 11.0",24
"Spotted","female","5.3 5.5 5.5 5.5",110
"Spotted","female","5.2 5.4 5.0",35
"Softshell","male","8.9 9.3",14
"Softshell","female","10.2 10.0 10.1",22
"Spotted","female","5.2 5.0",64
"Softshell","male","8.2 8.4",9
"Softshell","female","10.0 10.2 10.0",19
"Spotted","male","2.9 2.6 2.6 2.9 2.8 2.5 2.9",18
"Spotted","female","4.4 4.6",20
"Spotted","female","4.7 4.8",30
"Softshell","male","9.0 9.2",15
"Spotted","female","5.1 5.1 5.2",54
"Spotted","female","5.3 5.3",72
"Spotted","female","5.0 5.0 5.2 5.2 5.2",58
"Spotted","female","4.8 4.9",19
"Softshell","male","9.5 9.5 9.7",14
"Softshell","female","10.1 10.4 10.3",33
"Spotted","female","4.5 4.5 4.6",30
"Spotted","female","4.5 4.5 4.6 4.5",51
"Spotted","female","6.0 6.1 5.9 6.2",99
"Spotted","male","2.7 2.6",28
"Spotted","female","4.7 4.9",56
"Spotted","male","3.1 3.4 3.3 3.2",41
"Softshell","male","9.3 9.1 9.2",24
"Softshell","female","10.1 10.2 10.0",27
"Spotted","male","5.1 4.7 5.0",32
"Spotted","male","3.5 3.5",41
"Spotted","female","4.6 4.6 4.5",51
"Spotted","male","3.9 3.7 3.5",22
"Spotted","female","4.7 4.9",83
"Spotted","female","2.4 2.5",4
"Softshell","female","10.4 10.5 10.5",26
"Softshell","male","8.8 8.9",20
"Spotted","female","6.0 6.0 5.8",100
"Spotted","female","5.3 5.0",66
"Spotted","male","3.8 3.8 3.9",41
"Softshell","male","9.5 9.5",18
"Spotted","female","5.9 6.0",52
"Softshell","male","9.2 9.2 9.1",13
"Spotted","male","3.5 3.5",26
"Softshell","male","9.3 9.2 9.2",19
"Softshell","male","8.8 9.0 9.1 9.0 9.2",7
"Spotted","male","3.6 3.4",41
"Softshell","male","8.8 8.8",10
"Softshell","male","9.6 9.4",12
"Spotted","male","3.0 2.9",17
"Spotted","female","5.7 5.8 5.7",68
"Spotted","male","2.6 2.5",16
"Spotted","female","6.0 6.0 5.8",75
"Softshell","female","10.2 10.3",18
"Softshell","male","8.5 8.6 8.7",15
"Softshell","male","9.2 9.4 9.3 9.3",14
"Softshell","male","9.3 9.2",23
"Spotted","male","3.9 4.0 4.0 3.9",45
"Spotted","female","5.4 5.6 5.6 5.4",48
"Spotted","male","2.6 2.8 2.7",14
"Softshell","male","9.7 9.9 9.9",17
"Spotted","female","4.5 4.5",23
"Softshell","male","8.3 8.3",7
"Softshell","female","10.6 10.7 10.8 10.5",33
"Softshell","male","9.7 9.8 9.7",19
"Spotted","female","5.7 5.6 5.8 5.7",80
"Softshell","female","11.0 11.1 11.3 11.1",40
"Softshell","female","10.4 10.5",30
"Softshell","female","10.1 10.0 10.1 10.1",11
"Softshell","male","9.8 9.9 10.0",16
"Softshell","female","10.9 11.0",24
"Softshell","female","10.6 10.6 10.7 10.5 10.5",27
"Softshell","male","8.8 8.5 8.6 8.5",15
"Spotted","male","3.7 3.8",22
"Softshell","female","9.9 9.9 9.7 9.8",28
"Spotted","male","3.7 3.7 3.6 3.8",46
"Spotted","female","4.7 4.6",63
"Spotted","female","5.4 5.7 5.7",79
"Softshell","female","10.6 10.7 10.7",24
"Softshell","male","9.1 9.2 9.4",15
"Spotted","female","5.3 5.3 5.2 5.1",53
"Softshell","male","9.7 9.6 9.5",23
"Spotted","female","4.3 4.4 4.4",62
"Softshell","female","10.8 11.2",30
"Softshell","female","10.3 10.1 10.1",16
"Spotted","male","3.1 3.1 3.1",29
"Softshell","female","9.7 9.8",11
"Softshell","female","11.1 11.3 11.4 11.3 11.5",24
"Spotted","male","3.1 2.8",18
"Spotted","female","5.0 5.1",35
"Spotted","female","5.9 5.8",69
"Softshell","female","10.9 10.6 10.8",27
"Spotted","female","4.7 4.7 4.9 4.9",46
"Spotted","female","4.6 4.4 4.5",36
"Spotted","female","4.1 4.1 4.0 4.0",30
"Spotted","female","4.1 4.3 4.3",20
"Softshell","male","8.8 8.6 8.5 8.8 8.8",16
"Softshell","male","9.4 9.5 9.1 9.3 9.2 9.5 9.3",26
"Softshell","female","10.4 10.6",35
"Softshell","female","10.9 10.7",33
"Softshell","female","10.0 10.2 10.1",18
"Softshell","female","10.0 9.8 9.7 9.9 9.8",9
"Spotted","female","5.3 5.1",53
"Softshell","male","9.5 9.6",15
"Softshell","male","9.0 9.1 8.9",17
"Softshell","female","10.0 10.3 10.3",24
"Softshell","male","8.9 8.8 8.8 8.8 9.0",18
"Softshell","female","9.9 9.9",10
"Softshell","female","10.7 10.8",23
"Softshell","female","10.7 10.6",25
"Spotted","male","2.7 2.9 3.2 3.0",41
"Softshell","male","8.2 8.0 8.0",4
"Spotted","female","5.1 5.0",37
"Softshell","female","10.5 10.6 10.6 10.4 10.4",9
"Spotted","female","5.9 5.7 5.9 5.9 5.7",102
"Softshell","female","10.5 10.7",30
"Softshell","female","10.4 10.1",12
"Spotted","male","3.4 3.4 3.3",37
"Spotted","male","4.0 4.3",33
"Spotted","female","4.9 4.7 4.7 4.9",73
"Softshell","male","8.7 8.6",8
"Spotted","female","5.3 5.2",50
"Spotted","female","4.8 4.5 4.5",25
"Softshell","male","8.7 8.6",15
"Spotted","female","4.3 4.3 4.4 4.1",45
"Softshell","female","10.1 10.0 10.0 9.9 9.9",10
"Spotted","female","5.0 4.8 5.0 4.7",51
"Softshell","female","11.2 11.1 11.1",29
"Spotted","male","3.7 3.7 3.9",31
"Softshell","male","9.4 9.5 9.5",29
"Spotted","male","3.9 3.6",37
"Spotted","male","2.4 2.3",27
"Softshell","male","9.6 9.7",24
"Spotted","female","5.0 5.4",62
"Spotted","male","2.9 2.7 2.7",17
"Softshell","female","10.5 10.7",20
"Spotted","female","4.4 4.6 4.6",51
